code,product_name,nutrition_grades,brands,categories,energy-kcal_100g,sugars_100g,salt_100g,fat_100g
7622201693930,Lightest,a,Philadelphia,"Dairies, Fermented foods, Fermented milk products, Cheeses, Spreads, Salted spreads, Cheese spreads, en:cream-cheeses",86.7,5.0,0.00217,2.67
3265470063260,Huile d'Olive Vierge Extra,b,PUGET,"Plant-based foods and beverages, Plant-based foods, Fats, Vegetable fats, Olive tree products, Vegetable oils, Olive oils, Extra-virgin olive oils, en:virgin-olive-oils",900.0,0.0,0.0,100.0
3574669909143,,unknown,,,,,,
6221155025265,,unknown,,,,,,
4003586100313,Chipsfrisch ungarisch,d,funny-frisch,"pflanzliche-lebensmittel-und-getränke, pflanzliche-lebensmittel, imbiss, getreide-und-kartoffeln, salzige-snacks, vorspeisen, chips-und-pommes-frites, chips, kartoffelchips, aromatisierte-kartoffelchips, kartoffelchips-mit-sonnenblumenöl, fr:chips",533.0,2.5,1.5,33.0
5010029229158,Crispy Minis imp,a,Weetabix,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Breakfast cereals fortified with vitamins and chemical elements, Diet breakfast cereals, Diet breakfast cereals fortified with vitamins and chemical elements, Diet breakfast cereals with fruits, Breakfast cereals diet with dried fruits fortified with vitamins and chemical elements, extruded cereals",374.0,18.0,0.17,3.9
5036829756304,"sweet potato pakora with red pepper, cumin and chilli",a,Gosh!,"Plant-based foods and beverages, Plant-based foods, Meals, Meat alternatives, Prepared vegetables, Plant-based meals, Vegetarian balls, Falafels",198.0,6.8,0.93,10.0
5010034013995,Golden Vegetable Rice,b,Ben's Original,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Meals,Cereals and their products,fr:Céréales préparées,Precooked rices,Microwave rice",151.0,0.7,0.44,2.2
6111259091801,,unknown,,en:biscuits,,,,
8412600019672,Takis Fuego,e,Takis,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips",486.0,2.2,1.8,27.0
8719200265837,Margarina con sal,d,Tulipan,"Spreads, Salted spreads, en:light-margarines",531.0,0.5,0.9,59.0
59492573,Coca-Cola Original 0.5,e,Coca-Cola,"Beverages and beverages preparations, Beverages, Sweetened beverages, ro:Băutură carbogazoasă, en:colas",42.0,10.6,0.0,0.0
8402001014369,Choco Avena,d,Hacendado,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks",44.0,2.4,0.15,1.9
6291003634154,Day BREAK,e,Tiffany,Chocolates,556.0,31.2,0.312,37.5
0152152421568,,unknown,,en:waters,,,,
3240931547138,Gnocchi a poeler extra fromage 285g,c,"Lustucru,Lustucru selection","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pâtes alimentaires,Gnocchi,Gnocchi de pommes de terre, Gnocchis fourrés",230.0,2.1,1.3,8.1
0044000050986,Original,unknown,"Mondelez, Nabisco-Triscuit","snacks, salty-snacks, sweet-snacks, appetizers, biscuits-and-cakes, biscuits, da:crackers",429.0,,1.52,12.5
00642118,Super Seeded,b,M&S Food,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",304.0,4.4,0.73,10.3
3017760857062,Véritable petit beurre🧈,e,LUMondelez,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Petits beurres, en:Biscuits et gâteaux, en:Snacks sucrés",440.0,23.2,1.38,12.0
3023260030980,Roquefort Société,e,"Lactalis, Société","Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,Fromages à pâte persillée,Fromages à pâte persillée français,Fromages de brebis,Roqueforts,Matières grasses animales",365.0,0.0,8.375,31.7
3038359004582,Panzani - spf - bolognaise 210g,b,Panzani,"Condiments, Meats and their products, Meals, Pasta dishes, Sauces, Meat-based sauces, Pasta sauces, Tomato sauces, Bolognese-style pasta, Meat-based pasta sauces, Bolognese sauces, Groceries, en:beef-dishes, en:Cooking Sauces",82.0,5.8,0.91,3.7
3174660024991,sucre cassonade,e,begin say,"fr:Sucre-de-canne-blond, fr:Sucre-en-poudr, en:cane-sugar",400.0,100.0,0.0,0.0
3184670001363,,b,rians,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,fr:Fromages blancs,Cream cheeses,Faiselles,Fresh cream cheese with cow's milk",76.0,4.5,0.1,4.5
3229820021003,Le palmier,e,Bjorg,"Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits feuilletés, Palmiers",508.0,20.0,0.83,25.0
3250390819455,Petits pains grillés blé complet,c,"Chabrior, Intermarché","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains grillés, Petits pains grillés",379.0,3.2,1.5,6.0
3263670034455,THON ENTIER HUILE D\'OLIVE,b,LE SAVOUREUX,"Produits de la mer, Poissons et dérivés, Conserves, Poissons, Poissons gras, Poissons en conserve, Thons, Thons en conserve, Thons à l'huile, Thons tropicaux, Thons à l'huile d'olive, Thons entiers, Thons albacore",253.0,0.0,1.0,17.0
3330720237613,Pâte à tartiner noisettes cacao,e,Lucien georgelin,"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner, Pâtes à tartiner aux noisettes, Pâtes à tartiner au chocolat, Pâtes à tartiner aux noisettes et au cacao",541.0,53.0,0.12,32.0
3451790852497,La Crème Semi-Epaisse Si Légère 4%MG,b,"Elle & Vire, Elle et Vire","Dairies, Compound dairy creams, Liquid-light-cream-with-4-to-8-fat, UHT compound dairy creams with 4 to 8% fat",76.0,4.2,0.11,4.3
3700214616970,Chocolat Noir 95% Togo,d,Alter Eco,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs, Chocolats noirs extra fin",648.0,3.9,0.0,60.0
4006985905800,Chocolat instantané Façon Bistrot,unknown,Van Houten,"Beverages, Cocoa and its products, Cocoa and chocolate powders, Instant beverages, Cocoa powders, Chocolate-powders, Cocoa powder for beverages with sugar, en:instant-chocolate-powders",374.0,62.0,0.5,6.8
5000111043991,,d,HP Foods,"Condiments, Sauces, Brown sauces, Groceries",,23.1,1.3,0.1
5010003001169,Granary Medium,c,Hovis,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, Granary-bread",256.0,3.33,1.01,2.5
5013665103776,Wholegrain Low fat rice cakes imp,b,Kallø,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Puffed cereal cakes, Puffed rice cakes, en:puffed-wholegrain-rice-cakes",397.0,0.0,0.0,2.94
5036589204121,Organic Lemon Curd Yoghurt,c,Yeo Valley,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Fermented dairy desserts with fruits, Yogurts, Fruit yogurts",,16.9,0.18,4.4
